Source,Target
Kelapa Sawit, Perkebunan
Karet, Perkebunan
Kopi, Perkebunan
Lada, Perkebunan
Kakao, Perkebunan
Aren, Perkebunan
Teh, Perkebunan
Kina, Perkebunan
Kapuk, Perkebunan
Tembakau , Perkebunan
Sagu, Perkebunan
Nilam, Perkebunan
Tebu, Perkebunan
Pala, Perkebunan
Kemiri, Perkebunan
Cengkeh, Perkebunan
Tebu , Perkebunan
Kelapa , Perkebunan
Tembakau, Perkebunan
Anggrek, Hortikultura
Krisan, Hortikultura
Mawar , Hortikultura
Melati, Hortikultura
Anyelir, Hortikultura
Jahe, Hortikultura
Lengkuas, Hortikultura
Kunyit, Hortikultura
Kencur, Hortikultura
Temulawak, Hortikultura
Duku, Hortikultura
Jambu siam, Hortikultura
Jeruk Keprok, Hortikultura
Mangga, Hortikultura
Manggis , Hortikultura
Pepaya, Hortikultura
Pisang, Hortikultura
Rambutan, Hortikultura
Sawo , Hortikultura
Markisa, Hortikultura
Kangkung, Hortikultura
Bayam, Hortikultura
Tomat, Hortikultura
Cabai, Hortikultura
Sawi, Hortikultura
Wortel, Hortikultura
Padi, Pangan
Jagung, Pangan
Sorgum, Pangan
Kedelai, Pangan
Gandum, Pangan
Kentang, Pangan
Talas, Pangan
Ubi Jalar, Pangan
Quinoa, Pangan
Oats, Pangan
Teff, Pangan
Barley, Pangan
Fonio, Pangan
Millet, Pangan
Chia, Pangan
